Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
pe,atl-trx1-dc1-pe2,Ethernet19,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet20,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet21,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet22,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet23,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet24,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet25,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet26,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet27,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet28,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet29,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet30,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet31,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet32,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet33,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet34,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet35,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet36,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet38,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet39,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet40,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet41,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet42,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet43,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet44,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet45,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet46,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet49/2,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet49/3,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet49/4,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet50/2,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet50/3,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet50/4,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet51/2,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet51/3,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet51/4,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet52/2,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet52/3,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet52/4,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet53/1,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet53/2,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet53/3,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet53/4,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet54/1,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet54/2,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet54/3,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet54/4,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet55/1,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet55/2,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet55/3,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet55/4,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet56/1,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet56/2,network_port,,,True
